entidad,DJ_PENAL,entidad_2,municipio,nombre,DJ_CFM,DJ_PENAL_2
"29",GURIDI Y ALCOCER,"29","22",ACUAMANALA DE MIGUEL HIDALGO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","1",AMAXAC DE GUERRERO,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","2",APETATITLAN DE ANTONIO CARVAJAL,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","18",CONTLA DE JUAN CUAMATZI,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","10",CHIAUTEMPAN,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","53",SAN DAMIAN TEXOLOC,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","12",ESPAÃ‘ITA,OCAMPO,SANCHEZ PIEDRAS
"29",GURIDI Y ALCOCER,"29","13",HUAMANTLA,JUAREZ,SANCHEZ PIEDRAS
"29",GURIDI Y ALCOCER,"29","14",HUEYOTLIPAN,OCAMPO,SANCHEZ PIEDRAS
"29",GURIDI Y ALCOCER,"29","15",IXTACUIXTLA DE MARIANO MATAMOROS,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","51",SAN FRANCISCO TETLANOHCAN,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","56",SAN JERONIMO ZACUALPAN,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","52",LA MAGDALENA TLALTELULCO,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","47",SAN JUAN HUACTZINCO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","58",SANTA ANA NOPALUCAN,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","45",SANTA APOLONIA TEACALCO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","24",PANOTLA,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","23",NATIVITAS,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","41",PAPALOTLA DE XICOHTENCATL,XICOHTENCATL,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","50",SAN JOSE TEACALCO,CUAUHTEMOC,SANCHEZ PIEDRAS
"29",GURIDI Y ALCOCER,"29","48",SANTA CATARINA AYOMETLA,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","46",SANTA CRUZ QUILEHTLA,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","26",SANTA CRUZ TLAXCALA,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","25",SAN PABLO DEL MONTE,XICOHTENCATL,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","28",TEOLOCHOLCO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","49",SANTA ISABEL XILOXOXTLA,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","27",TENANCINGO,XICOHTENCATL,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","44",ZACATELCO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","19",TEPETITLA DE LARDIZABAL,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","33",TLAXCALA,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","29",TEPEYANCO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","32",TETLATLAHUCA,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","36",TOTOLAC,CUAUHTEMOC,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","40",XALTOCAN,CUAUHTEMOC,SANCHEZ PIEDRAS
"29",GURIDI Y ALCOCER,"29","42",XICOHTZINCO,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","59",SAN LORENZO AXOCOMANITLA,ZARAGOZA,GURIDI Y ALCOCER
"29",GURIDI Y ALCOCER,"29","17",MAZATECOCHCO DE JOSE MARIA MORELOS,XICOHTENCATL,GURIDI Y ALCOCER
